Customer_ID,subscription_type,start_date,years_active,no_of_other_postpaid_accounts,frequent_availed_top_up_amount_30days,postpaid_plan_30days,monthly_revenue,no_of_top_ups_30days,last_date_top_up,days_since_last_two_top_ups,cellsite,no_of_days_subscribed_to_Call_Text_30days,no_of_days_subscribed_to_GoSurf_30days,no_of_days_subscribed_to_GoWatch_30days,no_of_days_subscribed_to_OtherApps_30days,total_hours_internet_usage_30days,total_hours_OtherApps_usage_30days,no_of_failed_Call_Text_30days,no_of_failed_Surfing_30days,no_of_failed_143hotline_30days,no_of_call_records_Complaint_30days,mins_of_call_records_Complaint_30days,no_of_logged_GlobeOne_30days,Survey_Score
0917-7459776594,postpaid,2/18/2012,7.41,0,0,599,599,1,06/04/2019,4,CN-17,5,13,15,2,153,239,24,29,25,7,11,25,0
0917-1144837154,prepaid,6/23/2017,1.99,0,100,0,100,2,4/15/2019,54,CN-16,3,0,2,0,107,100,26,12,18,3,3,10,0
0917-1444767721,postpaid,1/29/2015,4.42,1,220,799,1019,1,06/05/2019,3,CN-15,20,13,25,28,14,126,18,19,3,7,4,26,0
0917-2057563669,prepaid,3/20/2013,6.31,0,100,0,600,4,4/18/2019,51,CN-13,30,24,22,5,79,188,16,13,13,5,20,5,8
0917-3061437892,prepaid,6/15/2010,9.11,0,100,0,200,3,04/10/2019,59,CN-10,2,1,5,0,274,20,4,2,12,3,23,24,0
0917-7869333671,prepaid,6/16/2012,7.08,0,100,0,200,2,4/16/2019,53,CN-24,5,2,0,0,223,177,30,3,8,2,18,3,3
0917-3334098086,postpaid,07/05/2017,1.95,0,134,799,933,1,5/14/2019,25,CN-16,15,15,29,1,58,276,9,12,15,7,13,29,3
0917-5048632792,prepaid,9/22/2018,0.72,0,100,0,300,2,06/03/2019,5,CN-1,14,28,11,21,205,53,10,16,4,3,27,15,0
0917-1708488422,postpaid,6/26/2015,4.01,0,137,1799,1936,1,5/18/2019,21,CN-19,9,15,30,13,231,284,16,17,4,3,29,7,0
0917-5195926636,prepaid,1/13/2018,1.42,0,50,0,185,2,04/10/2019,59,CN-11,6,5,2,0,218,19,16,19,22,8,18,4,0
0917-9555451226,postpaid,2/23/2017,2.32,0,0,599,599,1,5/25/2019,14,CN-14,27,22,24,23,68,266,11,15,14,2,22,16,0
0917-4094111134,prepaid,6/15/2012,7.08,0,100,0,100,2,04/10/2019,59,CN-9,4,3,1,0,150,30,5,3,24,10,28,8,0
0917-6249087037,prepaid,5/20/2011,8.17,0,100,0,400,5,4/28/2019,41,CN-15,12,19,28,25,269,297,23,7,3,3,12,2,8
0917-6082716217,prepaid,08/11/2016,2.86,0,100,0,500,5,4/28/2019,41,CN-4,22,12,18,3,271,55,15,11,2,8,24,4,0
0917-9068286359,prepaid,11/19/2017,1.57,0,100,0,400,3,5/31/2019,8,CN-22,16,29,18,17,249,235,26,9,22,4,8,13,0
0917-5378667079,prepaid,1/21/2017,2.41,0,100,0,300,3,04/06/2019,63,CN-12,12,21,20,28,21,294,4,25,4,1,5,17,0
0917-9466725146,prepaid,03/05/2013,6.35,0,100,0,300,2,5/15/2019,24,CN-8,16,14,29,20,184,299,23,2,21,9,16,10,0
0917-6158861028,prepaid,08/06/2009,9.98,0,100,0,300,4,05/09/2019,30,CN-11,8,8,21,17,235,257,16,7,29,6,15,9,9
0917-7064261100,prepaid,12/05/2012,6.6,0,50,0,99,1,06/04/2019,4,CN-2,4,2,0,0,203,70,12,28,21,3,29,3,0
0917-5856501070,postpaid,11/28/2012,6.62,0,400,599,999,1,5/15/2019,24,CN-9,22,17,12,13,178,51,22,12,22,8,23,13,10
0917-9477418922,prepaid,02/03/2017,2.37,0,100,0,500,6,06/05/2019,3,CN-13,12,23,19,30,54,99,6,13,9,6,12,16,0
0917-2629428734,postpaid,06/05/2018,1.02,1,221,999,1220,1,5/30/2019,9,CN-1,4,4,27,3,231,247,1,14,11,9,2,3,0
0917-1712150549,prepaid,07/03/2010,9.06,0,20,0,52,1,05/08/2019,31,CN-21,1,2,3,0,124,16,17,13,22,6,30,24,0
0917-1808660299,prepaid,12/24/2015,3.5,0,500,0,522,2,4/27/2019,42,CN-10,8,17,9,13,263,5,10,1,5,2,27,19,8
0917-2889848307,prepaid,9/24/2011,7.82,0,300,0,300,2,5/31/2019,8,CN-9,20,10,7,0,170,231,13,22,16,8,1,2,0
0917-4256393833,prepaid,12/14/2014,4.55,0,100,0,500,3,4/26/2019,43,CN-20,16,18,11,12,247,65,23,23,2,2,13,28,9
0917-3683980990,prepaid,04/04/2009,10.32,0,15,0,132,6,4/17/2019,52,CN-25,1,5,3,0,47,265,2,29,9,1,12,5,0
0917-2951419576,postpaid,12/05/2016,2.54,0,501,599,1100,1,5/25/2019,14,CN-8,14,12,29,13,147,94,24,10,19,3,30,17,3
0917-5996996913,postpaid,09/05/2014,4.82,0,301,799,1100,1,5/28/2019,11,CN-3,11,19,9,6,117,237,2,1,20,4,7,27,0
0917-3722152028,prepaid,02/11/2016,3.37,0,50,0,55,1,5/31/2019,8,CN-19,5,3,1,0,275,139,3,10,8,7,13,25,0
0917-3363165660,postpaid,5/23/2019,0.04,0,500,999,1499,1,5/18/2019,21,CN-25,17,1,9,20,253,70,4,18,5,9,21,5,0
0917-1526287814,prepaid,4/15/2015,4.21,0,100,0,100,2,05/05/2019,34,CN-11,5,3,1,0,293,81,24,6,24,2,9,6,3
0917-4483609642,postpaid,4/14/2016,3.19,2,186,1999,2185,1,5/21/2019,18,CN-24,11,26,28,17,134,91,15,19,22,7,3,13,0
0917-5206701995,prepaid,6/24/2013,6.04,0,100,0,400,5,04/03/2019,66,CN-8,25,7,24,0,215,249,10,12,19,1,11,12,0
0917-8218196746,postpaid,4/13/2019,0.15,1,0,999,999,1,5/25/2019,14,CN-2,29,24,16,18,111,87,24,4,15,1,21,23,9
0917-3099500070,postpaid,7/25/2014,4.94,3,0,1799,1799,1,5/22/2019,17,CN-17,6,1,10,13,130,4,12,25,19,10,5,7,8
0917-4732924513,prepaid,3/23/2018,1.23,0,500,0,700,2,05/06/2019,33,CN-11,18,7,18,0,99,154,11,5,18,4,22,5,0
0917-9699830758,postpaid,7/26/2012,6.97,0,300,999,1299,1,06/03/2019,5,CN-17,19,29,20,20,61,132,23,7,20,9,5,6,0
0917-4664086075,postpaid,10/12/2011,7.77,0,15,1499,1514,1,5/22/2019,17,CN-10,8,6,25,4,280,45,20,20,29,2,18,29,0
0917-1838146725,prepaid,08/04/2010,8.97,0,300,0,700,3,04/08/2019,61,CN-17,28,27,8,5,91,76,16,28,5,8,6,7,0
0917-1779929219,postpaid,3/19/2011,8.34,0,700,599,1299,1,5/18/2019,21,CN-23,1,23,10,4,129,205,25,24,5,1,16,15,7
0917-8899886206,prepaid,10/31/2012,6.7,0,100,0,100,2,4/19/2019,50,CN-11,7,1,1,0,15,75,4,29,28,3,18,10,0
0917-3588926411,prepaid,3/30/2013,6.28,0,100,0,300,4,4/23/2019,46,CN-22,13,19,13,19,50,187,22,10,25,4,8,12,0
0917-7555021191,postpaid,12/06/2009,9.64,1,501,599,1100,1,06/01/2019,7,CN-13,28,2,26,20,163,34,5,21,8,4,18,15,0
0917-4064466803,prepaid,09/03/2015,3.82,0,300,0,300,2,04/08/2019,61,CN-6,12,20,15,15,135,103,21,5,3,8,15,25,0
0917-2792874169,prepaid,9/18/2012,6.82,0,500,0,500,2,05/11/2019,28,CN-21,17,10,25,30,48,291,30,17,7,3,10,4,9
0917-5614688174,prepaid,10/27/2011,7.72,0,50,0,176,2,05/04/2019,35,CN-5,7,3,2,0,245,294,21,21,9,4,27,10,10
0917-2281283823,prepaid,10/06/2012,6.77,0,50,0,113,2,5/14/2019,25,CN-1,7,1,4,0,56,170,24,27,22,1,30,13,9
0917-6944405980,prepaid,11/10/2011,7.69,0,100,0,600,3,4/14/2019,55,CN-2,22,20,10,30,216,45,3,19,4,10,28,9,0
0917-6474384280,prepaid,10/21/2013,5.71,0,300,0,507,2,06/02/2019,6,CN-12,11,29,19,21,119,36,7,11,4,5,17,21,0
0917-5049686361,postpaid,2/26/2011,8.4,4,0,599,599,1,5/25/2019,14,CN-7,23,3,29,10,181,15,11,9,24,5,5,7,9
0917-6001717483,prepaid,07/01/2012,7.04,0,30,0,188,3,06/04/2019,4,CN-2,0,6,3,0,111,175,10,1,22,6,18,13,9
0917-8294025312,postpaid,7/29/2017,1.89,0,109,599,708,1,5/26/2019,13,CN-19,23,9,17,3,281,171,12,16,8,9,13,14,0
0917-6048094207,prepaid,4/23/2014,5.2,0,100,0,400,4,4/22/2019,47,CN-4,16,10,17,26,185,86,5,8,5,6,29,6,8
0917-2105882489,prepaid,8/29/2013,5.86,0,100,0,100,2,5/27/2019,12,CN-14,2,3,2,0,292,158,17,18,17,4,16,19,7
0917-4286369101,postpaid,11/25/2013,5.61,0,700,599,1299,1,5/19/2019,20,CN-17,24,12,26,6,3,129,12,21,19,4,29,27,7
0917-5526899640,prepaid,08/11/2015,3.88,0,500,0,512,2,5/13/2019,26,CN-9,23,14,27,9,168,122,4,24,11,2,24,11,0
0917-7915744119,prepaid,11/25/2011,7.64,0,50,0,116,1,05/02/2019,37,CN-16,4,6,3,0,23,181,21,6,1,3,20,18,0
0917-5771648641,prepaid,3/22/2018,1.23,0,100,0,300,4,5/15/2019,24,CN-10,9,29,7,0,72,151,4,8,28,9,6,21,0
0917-4533340980,prepaid,03/02/2012,7.37,0,300,0,300,2,4/28/2019,41,CN-4,29,13,30,14,133,127,11,3,12,6,23,9,0
0917-5334168743,prepaid,7/24/2013,5.96,0,100,0,100,2,04/02/2019,67,CN-21,4,2,3,0,44,218,11,17,15,7,15,22,0
0917-5697083097,prepaid,12/31/2013,5.51,0,20,0,65,3,04/06/2019,63,CN-12,7,1,0,0,39,37,30,16,13,6,14,22,0
0917-8564124524,prepaid,5/26/2013,6.12,0,100,0,400,4,5/30/2019,9,CN-4,29,11,10,11,292,113,18,13,15,8,4,27,0
0917-1441681615,prepaid,5/19/2016,3.1,0,15,0,59,2,4/23/2019,46,CN-14,7,2,2,0,253,193,6,8,26,6,1,30,9
0917-8278297562,postpaid,12/04/2009,9.65,4,0,799,799,1,5/22/2019,17,CN-4,15,20,12,25,119,274,27,2,3,6,18,11,9
0917-9193944819,prepaid,06/02/2010,9.15,0,100,0,100,2,5/18/2019,21,CN-6,1,1,1,0,118,188,22,15,24,9,7,21,0
0917-9105266060,postpaid,3/21/2015,4.28,2,270,999,1269,1,5/18/2019,21,CN-16,28,2,28,7,79,14,27,7,2,10,12,28,9
0917-8057690665,prepaid,9/16/2014,4.79,0,100,0,400,4,04/01/2019,68,CN-24,19,30,19,7,184,193,9,11,29,8,13,22,0
0917-1389161943,prepaid,4/27/2009,10.26,0,15,0,82,3,05/01/2019,38,CN-9,6,3,2,0,15,110,25,3,5,8,4,11,0
0917-7831720083,prepaid,8/16/2009,9.95,0,100,0,300,2,4/24/2019,45,CN-22,15,17,22,4,145,110,4,20,16,5,22,27,0
0917-5394379237,postpaid,06/08/2010,9.13,0,500,999,1499,1,5/20/2019,19,CN-11,3,13,6,22,85,233,8,3,4,1,8,10,3
0917-2077451344,prepaid,02/09/2017,2.36,0,100,0,500,5,5/23/2019,16,CN-15,8,14,12,5,14,181,14,2,15,8,30,1,10
0917-2321709482,prepaid,7/24/2011,7.99,0,100,0,400,2,05/10/2019,29,CN-9,20,10,17,30,11,60,2,8,16,3,9,28,0
0917-9909194884,prepaid,02/11/2015,4.38,0,100,0,500,4,5/23/2019,16,CN-6,25,18,17,4,12,142,4,22,2,6,17,18,0
0917-7544686928,prepaid,12/04/2010,8.63,0,15,0,190,1,04/09/2019,60,CN-18,3,1,6,0,277,61,10,24,9,9,7,19,0
0917-7162506107,postpaid,11/11/2010,8.7,0,301,599,900,1,5/16/2019,23,CN-23,6,8,6,19,134,56,5,30,13,5,17,2,7
0917-3705650455,prepaid,1/16/2013,6.48,0,100,0,200,2,4/24/2019,45,CN-17,5,0,6,0,93,209,1,2,6,2,16,25,0
0917-1703703927,postpaid,6/28/2009,10.09,0,289,799,1088,1,5/25/2019,14,CN-4,16,29,7,22,51,111,3,27,17,9,27,6,5
0917-3063528311,prepaid,06/04/2013,6.1,0,500,0,692,2,04/08/2019,61,CN-15,22,13,9,23,160,202,9,8,28,3,6,8,0
0917-3704302606,prepaid,2/19/2016,3.35,0,100,0,300,3,4/30/2019,39,CN-15,13,10,15,7,69,265,25,8,28,8,24,30,9
0917-5987308567,prepaid,03/03/2012,7.37,0,100,0,300,4,4/18/2019,51,CN-22,23,10,19,30,32,25,18,6,23,6,21,10,3
0917-9043596501,postpaid,11/28/2017,1.55,0,266,1299,1565,1,5/25/2019,14,CN-19,8,27,4,21,7,234,4,13,15,2,14,10,9
0917-2531086123,postpaid,4/19/2012,7.24,0,0,599,599,1,5/29/2019,10,CN-19,30,24,3,25,267,239,21,8,21,3,21,1,0
0917-5524145789,postpaid,1/27/2017,2.39,0,101,599,700,1,5/18/2019,21,CN-6,4,12,7,5,12,170,19,18,9,3,14,16,0
0917-8774721925,postpaid,1/24/2011,8.49,1,500,999,1499,1,5/25/2019,14,CN-24,16,6,25,18,177,291,26,19,19,10,13,18,0
0917-4973290272,prepaid,8/21/2018,0.81,0,100,0,400,2,04/06/2019,63,CN-12,21,16,11,18,86,141,11,14,21,8,7,30,9
0917-8258639535,prepaid,03/04/2010,9.4,0,50,0,115,1,5/18/2019,21,CN-25,3,7,7,0,216,262,12,9,13,5,18,24,9
0917-3929081479,prepaid,1/17/2011,8.51,0,50,0,107,2,5/30/2019,9,CN-19,2,7,0,0,164,31,28,30,17,1,27,16,0
0917-6598147699,prepaid,02/02/2015,4.41,0,100,0,400,5,04/11/2019,58,CN-21,25,30,19,28,16,163,20,5,17,9,15,3,0
0917-3239650877,prepaid,12/14/2009,9.62,0,100,0,400,3,06/05/2019,3,CN-17,11,21,11,22,83,167,2,5,10,2,21,26,0
0917-5899119170,prepaid,09/12/2014,4.8,0,100,0,400,2,4/27/2019,42,CN-2,8,29,8,19,258,130,20,6,25,7,15,2,7
0917-6265711673,prepaid,06/05/2019,0.01,0,50,0,78,1,5/21/2019,18,CN-4,1,3,0,0,6,265,29,13,18,4,30,6,3
0917-9838108688,postpaid,07/04/2013,6.01,1,0,599,599,1,5/15/2019,24,CN-9,21,19,9,22,161,188,20,6,14,1,10,18,7
0917-4532484054,prepaid,12/25/2016,2.49,0,100,0,400,3,4/25/2019,44,CN-20,23,23,30,25,218,60,6,9,22,8,13,6,0
0917-9765853027,postpaid,5/18/2018,1.07,0,69,1999,2068,1,5/13/2019,26,CN-19,21,17,13,5,243,175,11,18,15,5,7,9,0
0917-3624534028,postpaid,2/22/2009,10.44,0,233,999,1232,1,5/21/2019,18,CN-15,28,27,11,18,97,250,23,10,17,2,24,28,8
0917-5656608149,postpaid,04/11/2011,8.28,1,83,1299,1382,1,5/21/2019,18,CN-2,27,22,9,17,204,67,15,23,12,6,30,25,0
0917-4924271781,prepaid,7/17/2009,10.04,0,100,0,300,3,5/17/2019,22,CN-7,7,10,21,0,289,96,2,4,6,7,1,11,5
0917-7665180687,postpaid,01/06/2014,5.5,1,501,599,1100,1,5/25/2019,14,CN-4,15,8,5,26,217,234,5,16,11,3,25,14,9
0917-5266818027,prepaid,07/09/2015,3.97,0,50,0,154,3,06/05/2019,3,CN-7,0,7,7,0,47,188,23,3,27,9,16,17,0
0917-1566508746,postpaid,2/25/2009,10.43,0,109,599,708,1,06/03/2019,5,CN-8,3,2,29,6,196,77,28,1,27,4,10,3,0
0917-1164287888,postpaid,10/04/2009,9.82,0,700,599,1299,1,5/22/2019,17,CN-21,18,28,30,18,187,208,8,14,1,6,1,17,0
0917-8521986719,prepaid,12/29/2012,6.53,0,100,0,400,4,05/06/2019,33,CN-7,8,7,17,0,107,46,16,17,19,7,10,28,0
0917-1138515437,prepaid,9/19/2018,0.73,0,20,0,66,2,5/13/2019,26,CN-6,0,1,3,0,299,92,20,30,25,1,6,16,0
0917-9295918009,prepaid,03/12/2015,4.3,0,100,0,300,3,4/20/2019,49,CN-6,20,24,15,4,139,51,7,14,10,10,6,24,10
0917-2046747321,prepaid,11/11/2009,9.71,0,100,0,500,5,06/02/2019,6,CN-17,23,28,16,5,75,50,8,17,22,4,27,21,7
0917-5686360676,prepaid,3/30/2009,10.34,0,500,0,546,2,4/25/2019,44,CN-21,9,28,30,24,179,32,11,10,30,5,12,12,0
0917-9839297356,prepaid,3/16/2012,7.33,0,50,0,87,1,05/02/2019,37,CN-11,0,3,0,0,227,4,8,25,10,8,29,19,0
0917-5345299639,postpaid,7/27/2009,10.01,5,204,799,1003,1,06/05/2019,3,CN-14,4,20,9,6,272,59,22,17,26,1,19,23,0
0917-9974551082,prepaid,5/14/2010,9.2,0,50,0,196,2,4/24/2019,45,CN-9,1,3,2,0,255,245,29,14,17,4,11,15,0
0917-1366065369,prepaid,03/11/2013,6.33,0,100,0,400,3,5/28/2019,11,CN-13,14,8,20,15,68,18,19,6,21,6,12,23,10
0917-2572193945,prepaid,11/23/2017,1.56,0,100,0,100,2,05/02/2019,37,CN-25,2,2,2,0,296,24,3,27,18,10,28,16,9
0917-1482148464,postpaid,03/11/2016,3.29,1,101,999,1100,1,5/29/2019,10,CN-20,10,26,26,4,238,26,26,2,11,6,26,17,9
0917-9562639114,prepaid,10/12/2011,7.77,0,300,0,300,2,4/18/2019,51,CN-10,18,29,12,21,9,257,1,11,21,5,23,30,0
0917-2453849502,prepaid,5/18/2010,9.19,0,100,0,300,2,5/26/2019,13,CN-12,13,10,17,30,185,4,25,26,20,8,11,2,9
0917-6265339725,postpaid,10/15/2015,3.7,0,169,1499,1668,1,5/25/2019,14,CN-4,21,2,18,20,289,198,16,23,7,8,23,25,0
0917-4523234536,prepaid,5/28/2012,7.13,0,20,0,70,1,06/05/2019,3,CN-21,6,2,2,0,220,44,28,13,16,5,19,3,9
0917-5307049038,prepaid,5/29/2017,2.05,0,20,0,142,7,05/12/2019,27,CN-3,3,4,2,0,26,162,17,24,28,8,25,27,10
0917-1232880276,prepaid,3/30/2012,7.29,0,15,0,175,9,04/07/2019,62,CN-2,7,4,6,0,31,182,29,4,15,5,9,9,0
0917-7175650216,prepaid,12/11/2013,5.57,0,100,0,300,4,4/16/2019,53,CN-21,10,28,17,30,298,22,9,3,19,6,22,9,0
0917-2061387342,prepaid,8/17/2013,5.89,0,100,0,300,2,05/10/2019,29,CN-6,8,17,18,19,299,57,21,28,16,5,13,13,10
0917-1253430884,prepaid,09/08/2012,6.84,0,100,0,100,2,04/11/2019,58,CN-1,1,0,2,0,207,64,6,7,10,7,19,3,0
0917-6054862997,postpaid,11/03/2017,1.62,2,114,999,1113,1,06/04/2019,4,CN-22,3,12,20,18,13,116,3,4,13,8,23,22,0
0917-9505173845,prepaid,3/19/2010,9.35,0,20,0,196,3,05/03/2019,36,CN-13,5,1,2,0,251,42,23,5,11,5,21,24,0
0917-9176474136,postpaid,11/09/2014,4.64,0,141,599,740,1,5/18/2019,21,CN-22,17,19,14,13,89,300,18,27,27,7,9,1,0
0917-1391436519,prepaid,06/10/2014,5.07,0,100,0,100,2,04/06/2019,63,CN-4,4,3,1,0,238,8,23,9,15,4,5,22,0
0917-4101702176,prepaid,9/19/2009,9.86,0,100,0,300,2,04/04/2019,65,CN-17,19,12,24,17,194,38,1,14,9,10,15,25,0
0917-4419864421,postpaid,04/04/2013,6.27,0,501,599,1100,1,5/18/2019,21,CN-16,4,24,2,19,293,226,3,17,11,8,3,10,0
0917-9556870469,prepaid,9/15/2014,4.8,0,100,0,300,2,04/11/2019,58,CN-4,7,16,16,0,269,169,28,23,28,2,9,5,9
0917-9812524607,prepaid,10/06/2018,0.68,0,15,0,93,1,4/22/2019,47,CN-4,7,3,2,0,257,56,5,13,22,1,27,1,9
0917-8088742135,prepaid,04/03/2012,7.28,0,100,0,500,4,5/30/2019,9,CN-13,14,21,8,11,96,71,2,7,2,4,15,6,3
0917-1618835127,postpaid,5/24/2015,4.1,0,0,599,599,1,5/27/2019,12,CN-10,12,20,10,10,283,213,17,23,30,2,12,9,8
0917-4014792476,prepaid,12/31/2014,4.5,0,50,0,196,1,05/04/2019,35,CN-15,0,7,0,0,200,234,23,1,20,6,4,27,0
0917-1045349640,prepaid,12/14/2013,5.56,0,100,0,400,5,05/05/2019,34,CN-10,20,16,18,11,139,273,12,25,16,1,21,28,0
0917-6533592070,postpaid,04/05/2012,7.28,5,0,599,599,1,5/25/2019,14,CN-13,6,29,24,25,52,37,19,11,18,4,27,18,8
0917-3428305423,prepaid,10/28/2009,9.75,0,100,0,400,2,06/03/2019,5,CN-1,8,28,14,4,244,293,26,6,16,6,20,29,0
0917-2545291386,prepaid,10/07/2012,6.76,0,50,0,79,1,04/06/2019,63,CN-19,0,3,1,0,129,259,18,14,18,5,7,7,0
0917-9832954675,prepaid,11/11/2012,6.67,0,100,0,400,2,4/24/2019,45,CN-9,23,8,15,18,187,23,3,24,29,7,15,17,0
0917-9523606611,postpaid,7/16/2009,10.04,0,101,599,700,1,5/22/2019,17,CN-23,29,13,18,1,134,241,13,19,11,2,8,10,0
0917-4336657258,postpaid,08/06/2015,3.89,0,700,599,1299,1,05/12/2019,27,CN-22,5,14,30,24,54,64,12,28,18,1,23,6,0
0917-7063374869,prepaid,2/27/2017,2.31,0,100,0,500,5,05/09/2019,30,CN-2,28,13,29,10,214,294,9,17,28,3,16,23,7
0917-7311440300,postpaid,12/15/2011,7.59,0,200,599,799,1,5/25/2019,14,CN-17,23,30,5,3,147,237,6,29,1,2,22,27,0
0917-6262605067,prepaid,6/14/2016,3.02,0,300,0,400,2,4/21/2019,48,CN-17,28,13,24,25,5,82,16,20,7,3,24,12,3
0917-4419854050,postpaid,10/22/2016,2.66,0,0,999,999,1,5/16/2019,23,CN-3,11,10,11,6,229,200,17,19,13,5,2,10,7
0917-1073646253,postpaid,5/15/2018,1.08,0,252,1799,2051,1,5/23/2019,16,CN-10,26,1,11,23,179,255,23,2,21,3,3,27,10
0917-8234652833,prepaid,9/30/2011,7.8,0,15,0,147,2,5/30/2019,9,CN-15,2,6,2,0,229,272,15,15,13,3,16,18,0
0917-8667155787,prepaid,12/13/2017,1.5,0,100,0,400,4,05/09/2019,30,CN-23,9,7,8,0,3,129,7,7,24,4,13,2,0
0917-6511724174,postpaid,08/09/2016,2.87,0,29,799,828,1,5/25/2019,14,CN-19,12,17,2,17,147,74,23,30,11,2,16,13,0
0917-4147543503,postpaid,1/15/2017,2.43,0,0,799,799,1,5/20/2019,19,CN-20,22,24,14,14,262,107,24,17,9,9,4,12,9
0917-3372004441,prepaid,10/30/2013,5.69,0,15,0,75,1,4/25/2019,44,CN-17,4,0,3,0,93,250,26,26,26,2,18,12,0
0917-9145369906,prepaid,5/28/2019,0.03,0,30,0,61,2,05/09/2019,30,CN-19,0,3,1,0,160,254,20,16,30,5,30,29,9
0917-5817699596,prepaid,08/03/2016,2.89,0,100,0,100,2,4/25/2019,44,CN-23,0,0,2,0,257,77,4,26,1,9,12,22,0
0917-9522405047,postpaid,05/05/2012,7.19,0,223,799,1022,1,5/18/2019,21,CN-7,23,23,20,21,153,151,30,20,21,2,16,11,0
0917-5895033883,prepaid,10/01/2011,7.8,0,30,0,191,6,5/17/2019,22,CN-11,0,1,0,0,237,66,16,24,9,9,18,1,0
0917-3303347916,prepaid,6/27/2009,10.09,0,100,0,400,2,04/09/2019,60,CN-19,14,27,21,16,133,98,25,9,26,1,4,19,3
0917-3628106488,postpaid,8/17/2016,2.85,0,50,1999,2049,1,5/29/2019,10,CN-24,17,11,15,19,189,64,11,3,19,3,21,4,0
0917-6639694842,prepaid,2/20/2012,7.4,0,50,0,169,3,5/14/2019,25,CN-12,3,1,0,0,68,226,11,25,23,4,22,15,0
0917-4624220816,postpaid,10/10/2017,1.68,5,301,799,1100,1,06/05/2019,3,CN-22,23,18,10,14,239,32,6,2,19,2,4,23,0
0917-4028043500,prepaid,11/25/2014,4.6,0,300,0,400,2,4/20/2019,49,CN-10,25,14,24,24,296,201,24,29,28,4,19,2,7
0917-4021270991,postpaid,11/02/2013,5.68,2,0,599,599,1,5/25/2019,14,CN-10,23,18,10,23,194,167,26,21,10,7,19,24,3
0917-3986038591,prepaid,3/26/2018,1.22,0,100,0,500,2,5/20/2019,19,CN-3,11,26,18,6,74,126,28,8,16,5,25,5,9
0917-1374126946,prepaid,8/18/2014,4.87,0,100,0,400,3,5/30/2019,9,CN-20,19,27,29,23,297,223,30,1,21,9,24,9,9
0917-4969870532,prepaid,8/29/2011,7.89,0,500,0,606,2,4/25/2019,44,CN-17,15,24,8,10,28,79,19,21,26,8,3,9,0
0917-6299924444,postpaid,7/17/2011,8.01,3,111,599,710,1,5/30/2019,9,CN-1,1,3,17,30,287,42,21,4,2,1,27,24,5
0917-2536466044,postpaid,02/11/2009,10.47,0,0,799,799,1,5/29/2019,10,CN-13,28,9,22,12,104,53,10,14,7,7,3,2,0
0917-8344063720,prepaid,11/19/2012,6.64,0,100,0,300,3,4/15/2019,54,CN-3,30,30,14,14,120,216,8,19,2,4,20,11,7
0917-9825905371,prepaid,4/26/2013,6.2,0,50,0,67,1,4/29/2019,40,CN-9,0,1,2,0,6,200,30,2,16,8,30,18,0
0917-7007222804,postpaid,2/24/2016,3.33,1,205,799,1004,1,05/12/2019,27,CN-12,18,5,26,28,146,23,15,8,21,4,22,6,0
0917-7227603379,prepaid,11/23/2018,0.55,0,100,0,500,3,5/31/2019,8,CN-25,16,20,17,7,107,291,3,23,18,6,29,5,9
0917-3091040541,prepaid,3/26/2013,6.29,0,100,0,500,5,04/06/2019,63,CN-7,30,22,12,5,57,22,11,9,5,3,1,28,0
0917-3375912713,prepaid,03/12/2011,8.36,0,100,0,300,4,4/15/2019,54,CN-3,24,26,11,8,153,79,23,25,15,1,30,7,0
0917-4514366859,prepaid,06/07/2015,4.06,0,500,0,699,2,4/21/2019,48,CN-3,12,24,8,16,277,210,21,27,25,1,22,16,0
0917-6408308072,prepaid,07/02/2009,10.08,0,100,0,400,3,5/15/2019,24,CN-6,16,7,15,0,49,138,8,6,30,10,27,2,0
0917-4127147457,prepaid,7/13/2012,7,0,100,0,400,5,5/28/2019,11,CN-21,23,26,10,24,243,11,2,8,26,7,4,20,0
0917-6556299651,prepaid,1/25/2015,4.43,0,300,0,400,2,04/05/2019,64,CN-22,14,17,13,25,243,137,26,18,23,1,23,26,0
0917-1511953116,prepaid,2/14/2011,8.43,0,15,0,134,7,5/20/2019,19,CN-3,7,7,3,0,24,21,20,25,27,2,8,3,8
0917-4662123229,prepaid,07/10/2012,7.01,0,300,0,600,3,5/23/2019,16,CN-2,10,18,30,21,183,53,24,8,4,10,21,15,0
0917-4809868678,prepaid,9/21/2010,8.84,0,50,0,158,1,4/20/2019,49,CN-13,5,2,5,0,248,190,6,26,30,4,27,18,9
0917-7042971360,prepaid,9/13/2011,7.85,0,100,0,500,2,05/11/2019,28,CN-8,17,7,16,0,49,22,25,18,20,5,13,18,5
0917-6547032389,postpaid,2/20/2017,2.33,0,501,599,1100,1,06/02/2019,6,CN-15,5,28,8,26,142,161,27,30,29,9,11,5,9
0917-2429619289,prepaid,12/08/2011,7.61,0,20,0,83,1,5/24/2019,15,CN-16,6,3,3,0,76,14,23,14,24,8,11,13,0
0917-3877846706,prepaid,12/26/2011,7.56,0,100,0,100,2,06/04/2019,4,CN-11,5,0,0,0,82,131,6,26,17,9,20,24,0
0917-8413203481,postpaid,02/02/2015,4.41,4,400,599,999,1,5/25/2019,14,CN-5,24,12,23,27,254,21,21,15,14,8,29,4,0
0917-1701727779,postpaid,5/15/2011,8.18,0,500,799,1299,1,05/11/2019,28,CN-17,28,13,8,15,272,25,11,16,21,1,21,19,9
